acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0.061,https://api.spotify.com/v1/audio-analysis/4Km5HrUvYTaSUfiSGPJeQR,0.927,343150,0.665,4Km5HrUvYTaSUfiSGPJeQR,0.0,11,0.123,-5.313,1,0.244,127.076,4,https://api.spotify.com/v1/tracks/4Km5HrUvYTaSUfiSGPJeQR,audio_features,spotify:track:4Km5HrUvYTaSUfiSGPJeQR,0.175
0.108,https://api.spotify.com/v1/audio-analysis/343YBumqHu19cGoGARUTsd,0.927,210937,0.488,343YBumqHu19cGoGARUTsd,0.0,9,0.196,-9.433,0,0.42,133.987,4,https://api.spotify.com/v1/tracks/343YBumqHu19cGoGARUTsd,audio_features,spotify:track:343YBumqHu19cGoGARUTsd,0.605
0.165,https://api.spotify.com/v1/audio-analysis/5aAx2yezTd8zXrkmtKl66Z,0.681,230453,0.594,5aAx2yezTd8zXrkmtKl66Z,3.49e-06,7,0.134,-7.028,1,0.282,186.054,4,https://api.spotify.com/v1/tracks/5aAx2yezTd8zXrkmtKl66Z,audio_features,spotify:track:5aAx2yezTd8zXrkmtKl66Z,0.535
0.414,https://api.spotify.com/v1/audio-analysis/7BKLCZ1jbUBVqRi2FVlTVw,0.748,244960,0.524,7BKLCZ1jbUBVqRi2FVlTVw,0.0,8,0.111,-5.599,1,0.0338,95.01,4,https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw,audio_features,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,0.661
0.13,https://api.spotify.com/v1/audio-analysis/6fujklziTHa8uoM5OQSfIo,0.794,291893,0.646,6fujklziTHa8uoM5OQSfIo,0.0,0,0.14,-6.235,1,0.0614,145.931,4,https://api.spotify.com/v1/tracks/6fujklziTHa8uoM5OQSfIo,audio_features,spotify:track:6fujklziTHa8uoM5OQSfIo,0.322
0.236,https://api.spotify.com/v1/audio-analysis/7yyRTcZmCiyzzJlNzGC9Ol,0.886,225205,0.525,7yyRTcZmCiyzzJlNzGC9Ol,0.0,8,0.057,-7.39,1,0.131,145.99,4,https://api.spotify.com/v1/tracks/7yyRTcZmCiyzzJlNzGC9Ol,audio_features,spotify:track:7yyRTcZmCiyzzJlNzGC9Ol,0.708
0.00784,https://api.spotify.com/v1/audio-analysis/1xznGGDReH1oQq0xzbwXa3,0.791,173987,0.619,1xznGGDReH1oQq0xzbwXa3,0.00423,1,0.351,-5.886,1,0.0532,103.989,4,https://api.spotify.com/v1/tracks/1xznGGDReH1oQq0xzbwXa3,audio_features,spotify:track:1xznGGDReH1oQq0xzbwXa3,0.371
0.174,https://api.spotify.com/v1/audio-analysis/7FB8l7UA1HKqnuSLjP9qDc,0.952,209640,0.318,7FB8l7UA1HKqnuSLjP9qDc,0.0,10,0.205,-10.357,1,0.467,120.077,4,https://api.spotify.com/v1/tracks/7FB8l7UA1HKqnuSLjP9qDc,audio_features,spotify:track:7FB8l7UA1HKqnuSLjP9qDc,0.665
0.0784,https://api.spotify.com/v1/audio-analysis/4pdPtRcBmOSQDlJ3Fk945m,0.476,205947,0.718,4pdPtRcBmOSQDlJ3Fk945m,1.02e-05,8,0.122,-5.309,1,0.0576,199.864,4,https://api.spotify.com/v1/tracks/4pdPtRcBmOSQDlJ3Fk945m,audio_features,spotify:track:4pdPtRcBmOSQDlJ3Fk945m,0.142
0.105,https://api.spotify.com/v1/audio-analysis/0SGkqnVQo9KPytSri1H6cF,0.77,222360,0.567,0SGkqnVQo9KPytSri1H6cF,0.0,2,0.125,-5.698,1,0.175,81.477,4,https://api.spotify.com/v1/tracks/0SGkqnVQo9KPytSri1H6cF,audio_features,spotify:track:0SGkqnVQo9KPytSri1H6cF,0.26
0.427,https://api.spotify.com/v1/audio-analysis/5GXAXm5YOmYT0kL5jHvYBt,0.768,269187,0.813,5GXAXm5YOmYT0kL5jHvYBt,0.0,0,0.102,-5.94,0,0.128,92.994,4,https://api.spotify.com/v1/tracks/5GXAXm5YOmYT0kL5jHvYBt,audio_features,spotify:track:5GXAXm5YOmYT0kL5jHvYBt,0.579
0.034,https://api.spotify.com/v1/audio-analysis/6b8Be6ljOzmkOmFslEb23P,0.818,225983,0.803,6b8Be6ljOzmkOmFslEb23P,0.0,1,0.153,-4.282,1,0.0797,106.97,4,https://api.spotify.com/v1/tracks/6b8Be6ljOzmkOmFslEb23P,audio_features,spotify:track:6b8Be6ljOzmkOmFslEb23P,0.632
